"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"12/04/2024","62,80","61,63","-0,37","61,41","63,38","1,60B"
"11/04/2024","61,79","61,86","0,42","61,33","62,11","999,00M"
"10/04/2024","62,33","61,60","-1,52","61,43","62,45","1,31B"
"09/04/2024","63,63","62,55","-0,67","62,01","63,87","2,32B"
"08/04/2024","61,10","62,97","5,46","60,80","63,13","2,49B"
"05/04/2024","60,28","59,71","-1,09","59,61","60,48","918,35M"
"04/04/2024","60,90","60,37","-1,11","60,17","61,29","2,68B"
"03/04/2024","61,37","61,05","-1,44","60,55","61,64","1,36B"
"02/04/2024","61,37","61,94","1,18","61,30","62,47","2,32B"
"01/04/2024","61,60","61,22","0,64","61,00","61,90","1,02B"
"28/03/2024","60,62","60,83","0,38","60,07","61,09","1,12B"
"27/03/2024","59,80","60,60","0,92","59,69","60,67","1,43B"
"26/03/2024","60,31","60,05","-1,27","59,59","60,49","1,88B"
"25/03/2024","61,02","60,82","-0,21","60,65","61,32","633,35M"
"22/03/2024","61,50","60,95","-1,15","60,93","61,56","670,84M"
"21/03/2024","62,43","61,66","-0,24","61,59","62,63","1,14B"
"20/03/2024","61,41","61,81","0,67","60,92","61,82","1,11B"
"19/03/2024","61,73","61,40","0,82","61,30","62,05","1,04B"
"18/03/2024","60,49","60,90","1,91","60,01","61,00","1,15B"
"15/03/2024","60,10","59,76","-1,14","59,36","60,24","4,06B"
"14/03/2024","61,10","60,45","-1,27","60,17","61,14","3,68B"
"13/03/2024","60,60","61,23","0,64","60,30","61,39","4,50B"
"12/03/2024","62,36","60,84","-0,62","60,66","62,56","2,73B"
"11/03/2024","62,00","61,22","-3,11","60,99","62,00","3,58B"
"08/03/2024","63,36","63,18","-0,77","63,08","64,11","1,47B"
"07/03/2024","64,57","63,67","-0,34","63,61","64,76","1,22B"
"06/03/2024","63,38","63,89","1,37","63,34","64,21","2,14B"
"05/03/2024","63,17","63,03","-1,32","62,79","63,45","1,54B"
"04/03/2024","64,08","63,87","-0,22","63,55","64,32","839,20M"
"01/03/2024","64,02","64,01","-0,16","63,53","64,19","1,43B"
"29/02/2024","63,70","64,12","0,37","63,64","64,59","1,33B"
"28/02/2024","63,94","63,88","-1,10","63,49","64,34","1,30B"
"27/02/2024","63,65","64,59","2,63","63,52","64,77","1,81B"
