data,fechamento
12/04/2024,61.63
11/04/2024,61.86
10/04/2024,61.6
09/04/2024,62.55
08/04/2024,62.97
05/04/2024,59.71
04/04/2024,60.37
03/04/2024,61.05
02/04/2024,61.94
01/04/2024,61.22
28/03/2024,60.83
27/03/2024,60.6
26/03/2024,60.05
25/03/2024,60.82
22/03/2024,60.95
21/03/2024,61.66
20/03/2024,61.81
19/03/2024,61.4
18/03/2024,60.9
15/03/2024,59.76
14/03/2024,60.45
13/03/2024,61.23
12/03/2024,60.84
11/03/2024,61.22
08/03/2024,63.18
07/03/2024,63.67
06/03/2024,63.89
05/03/2024,63.03
04/03/2024,63.87
01/03/2024,64.01
29/02/2024,64.12
28/02/2024,63.88
27/02/2024,64.59
26/02/2024,62.93
23/02/2024,64.49
22/02/2024,64.34
21/02/2024,63.66
20/02/2024,63.18
19/02/2024,64.6
16/02/2024,64.78
15/02/2024,62.7
14/02/2024,62.9
09/02/2024,63.1
08/02/2024,63.37
07/02/2024,63.94
06/02/2024,63.81
05/02/2024,62.7
02/02/2024,63.25
01/02/2024,64.56
31/01/2024,64.86
30/01/2024,65.83
29/01/2024,66.21
26/01/2024,66.52
25/01/2024,65.43
24/01/2024,66.91
23/01/2024,66.24
22/01/2024,64.9
19/01/2024,65.18
18/01/2024,66.04
17/01/2024,66.47
16/01/2024,67.59
15/01/2024,68.48
12/01/2024,68.62
11/01/2024,69.5
10/01/2024,69.14
09/01/2024,70.19
08/01/2024,71.09
05/01/2024,71.45
04/01/2024,72.38
03/01/2024,73.37
02/01/2024,73.75
28/12/2023,73.89
27/12/2023,74.08
26/12/2023,73.38
22/12/2023,73.12
21/12/2023,73.67
20/12/2023,71.3
19/12/2023,71.53
18/12/2023,71.03
15/12/2023,70.7
14/12/2023,70.26
13/12/2023,69.87
12/12/2023,69.86
11/12/2023,69.74
08/12/2023,69.68
07/12/2023,69.49
06/12/2023,69.27
05/12/2023,69.73
04/12/2023,70.38
01/12/2023,72.0
30/11/2023,70.69
29/11/2023,70.3
28/11/2023,70.32
27/11/2023,70.17
24/11/2023,70.59
23/11/2023,71.19
22/11/2023,71.64
21/11/2023,72.44
20/11/2023,70.73
17/11/2023,69.03
